Metric,Value
"True Positive Rate (Sensitivity, Recall)",0.11843202668890743
False Negative Rate,0.8815679733110926
True Negative Rate (Specificity),0.9915859660263534
False Positive Rate,0.00841403397364661
Positive Predictive Value (Precision),0.5725806451612904
Negative Predictive Value,0.9219868624990775
False Omission Rate,0.07801313750092258
False Discovery Rate,0.4274193548387097
Accuracy,0.9157063129665869
Balanced Accuracy,0.5550089963576305
F1 Score,0.1962681409813407
Matthews Correlation Coefficient,0.23326235113061655
"Threat Score (CSI, Jaccard Index)",0.10881226053639846
Positive Likelihood Ratio,14.075534643649583
Negative Likelihood Ratio,0.8890484572344817
Diagnostic Odds Ratio,15.83213437817961
